Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,3.420000,3.500000,2.800000,3.070000,3.070000,169856700
2021-01-05,2.980000,2.990000,2.460000,2.770000,2.770000,52028000
2021-01-06,2.600000,2.700000,2.400000,2.610000,2.610000,36786600
2021-01-07,2.560000,2.850000,2.420000,2.800000,2.800000,30713100
2021-01-08,2.680000,2.750000,2.560000,2.690000,2.690000,23763100
2021-01-11,2.580000,2.670000,2.460000,2.490000,2.490000,21835400
2021-01-12,2.358000,2.380000,2.110000,2.230000,2.230000,27790100
2021-01-13,2.080000,2.840000,1.960000,2.500000,2.500000,90293300
2021-01-14,2.350000,2.440000,2.180000,2.180000,2.180000,22611500
2021-01-15,2.260000,2.380000,2.120000,2.220000,2.220000,17853800
2021-01-19,2.443000,2.450000,2.280000,2.340000,2.340000,26476000
2021-01-20,2.390000,2.390000,2.160000,2.230000,2.230000,16572500
2021-01-21,2.210000,2.340000,2.130000,2.250000,2.250000,17452200
2021-01-22,2.210000,2.250000,2.160000,2.180000,2.180000,13812400
2021-01-25,2.073000,2.150000,2.000000,2.080000,2.080000,23564600
2021-01-26,2.027000,2.030000,1.860000,1.920000,1.920000,25558100
2021-01-27,1.670000,1.810000,1.400000,1.660000,1.660000,35390300
2021-01-28,1.595000,1.980000,1.595000,1.820000,1.820000,27243000
2021-01-29,1.840000,1.950000,1.740000,1.770000,1.770000,16040800
2021-02-01,1.829000,1.850000,1.720000,1.810000,1.810000,11824500
2021-02-02,2.080000,3.730000,2.010000,3.260000,3.260000,410442100
2021-02-03,2.830000,3.030000,2.570000,2.810000,2.810000,69091100
2021-02-04,3.260000,3.690000,3.170000,3.250000,3.250000,68333500
2021-02-05,3.420000,5.900000,3.110000,5.250000,5.250000,364424800
2021-02-08,9.280000,18.770000,9.130000,15.810000,15.810000,719521500
2021-02-09,12.940000,14.590000,11.210000,12.610000,12.610000,153404000
2021-02-10,11.540000,11.590000,9.500000,10.250000,10.250000,80805100
2021-02-11,9.600000,13.500000,8.920000,10.990000,10.990000,124470800
2021-02-12,9.850000,10.910000,9.600000,10.280000,10.280000,34208600
2021-02-16,11.320000,11.970000,10.630000,10.960000,10.960000,26823100
2021-02-17,10.800000,10.850000,9.910000,10.230000,10.230000,16369100
2021-02-18,9.950000,10.950000,9.880000,10.170000,10.170000,19493900
2021-02-19,10.450000,10.680000,10.100000,10.270000,10.270000,12903700
2021-02-22,10.210000,10.410000,9.050000,9.180000,9.180000,20475900
2021-02-23,7.710000,8.920000,6.000000,8.590000,8.590000,38496700
2021-02-24,8.840000,9.870000,8.650000,8.930000,8.930000,19645500
2021-02-25,8.360000,8.660000,7.840000,8.000000,8.000000,15281400
2021-02-26,8.050000,11.950000,7.620000,10.950000,10.950000,95877400
2021-03-01,10.724000,10.770000,9.230000,10.020000,10.020000,37867800
2021-03-02,9.520000,10.370000,9.370000,9.600000,9.600000,17520600
2021-03-03,12.030000,14.050000,10.400000,10.460000,10.460000,181319400
2021-03-04,10.070000,10.400000,8.400000,8.970000,8.970000,36207800
2021-03-05,9.160000,9.340000,7.480000,8.740000,8.740000,33732300
2021-03-08,8.930000,9.290000,8.300000,8.630000,8.630000,23846100
2021-03-09,8.390000,9.110000,8.200000,8.780000,8.780000,29515600
2021-03-10,8.640000,8.720000,7.930000,8.110000,8.110000,24673400
2021-03-11,8.100000,10.650000,8.030000,9.600000,9.600000,94537600
2021-03-12,9.970000,10.800000,9.750000,10.000000,10.000000,34678600
2021-03-15,9.700000,10.450000,9.245000,9.900000,9.900000,46446800
2021-03-16,9.860000,10.150000,8.840000,9.130000,9.130000,20302800
2021-03-17,8.850000,9.560000,8.840000,9.550000,9.550000,17050500
2021-03-18,9.210000,10.350000,8.760000,8.900000,8.900000,32932800
2021-03-19,8.920000,9.060000,8.640000,8.920000,8.920000,24255800
2021-03-22,8.920000,9.040000,8.410000,8.530000,8.530000,14026900
2021-03-23,8.400000,8.580000,7.955000,8.080000,8.080000,14799900
2021-03-24,8.040000,8.160000,7.360000,7.420000,7.420000,16086700
2021-03-25,7.110000,7.880000,6.660000,7.700000,7.700000,16150100
2021-03-26,7.750000,7.750000,6.900000,7.130000,7.130000,12790900
2021-03-29,6.980000,7.000000,6.490000,6.500000,6.500000,13387800
2021-03-30,6.150000,7.070000,5.850000,6.750000,6.750000,23092500
2021-03-31,7.750000,7.750000,6.720000,6.790000,6.790000,29762400
2021-04-01,6.900000,6.960000,6.630000,6.700000,6.700000,11062000
2021-04-05,6.755000,6.800000,6.440000,6.570000,6.570000,10053100
2021-04-06,6.530000,6.530000,6.150000,6.350000,6.350000,10399000
2021-04-07,6.400000,8.250000,6.280000,6.890000,6.890000,86840500
2021-04-08,7.070000,7.330000,6.650000,6.910000,6.910000,21545300
2021-04-09,6.790000,7.250000,6.758000,6.960000,6.960000,18216000
2021-04-12,6.940000,7.080000,6.660000,6.680000,6.680000,11063500
2021-04-13,6.840000,6.980000,6.550000,6.710000,6.710000,13071300
2021-04-14,6.748000,7.490000,6.680000,6.900000,6.900000,32970000
2021-04-15,6.860000,6.890000,6.060000,6.150000,6.150000,18546800
2021-04-16,5.920000,5.990000,5.510000,5.780000,5.780000,17410100
2021-04-19,5.390000,5.930000,5.290000,5.640000,5.640000,12351100
2021-04-20,5.610000,5.670000,5.238000,5.520000,5.520000,13478700
2021-04-21,6.650000,6.760000,5.830000,6.500000,6.500000,136483100
2021-04-22,6.710000,9.550000,6.580000,9.290000,9.290000,231428300
2021-04-23,9.680000,13.650000,8.700000,9.630000,9.630000,492180800
2021-04-26,11.060000,12.600000,10.780000,11.590000,11.590000,270360000
2021-04-27,10.740000,11.720000,9.910000,11.660000,11.660000,115682200
2021-04-28,11.190000,11.860000,10.810000,11.210000,11.210000,81986000
2021-04-29,11.000000,12.350000,10.400000,11.960000,11.960000,140355200
2021-04-30,11.450000,13.370000,11.390000,12.670000,12.670000,164400900
2021-05-03,13.930000,16.200001,13.830000,15.680000,15.680000,282311400
2021-05-04,13.840000,13.840000,11.865000,12.510000,12.510000,90958400
2021-05-05,12.890000,13.750000,10.880000,10.910000,10.910000,95972500
2021-05-06,9.610000,10.530000,9.020000,9.580000,9.580000,83460500
