date,symbol,open,high,low,close,Volume.BTC
2021-06-03,BTC/USD,37585.12,37891.42,37353.48,37453.99,133.75681073
2021-06-02,BTC/USD,36693.3,38256.3,35933.19,37589.36,4270.10341121
2021-06-01,BTC/USD,37279.89,37927.44,35699.98,36693.3,4348.7544836
2021-05-31,BTC/USD,35675.3,37540.96,34195.2,37341.41,4383.79233382
2021-05-30,BTC/USD,34644.09,36516.99,33425,35677.72,2979.71977699
2021-05-29,BTC/USD,35691.36,37348.01,33650,34632.08,4457.16762006
2021-05-28,BTC/USD,38578.5,38905.12,34710.23,35692.46,6167.02059154
2021-05-27,BTC/USD,39299.46,40429.47,37212.9,38503.47,4113.43820958
2021-05-26,BTC/USD,38385.87,40904,37859.74,39309.56,4205.61283515
2021-05-25,BTC/USD,38848.36,40000,36486.85,38397.72,5765.3472603
2021-05-24,BTC/USD,34735.35,39960,34426.21,38839.86,10213.18324641
2021-05-23,BTC/USD,37474.34,38311.74,31107.46,34706.79,9376.29208573
2021-05-22,BTC/USD,37318.43,38887.99,35260,37500.54,5720.00562166
2021-05-21,BTC/USD,40566.13,42297.89,33520,37335.16,13106.84060164
2021-05-20,BTC/USD,36793.39,43000,35000,40640.9,14703.03041947
2021-05-19,BTC/USD,42900.85,43601.63,30066,36780.43,32468.86397019
2021-05-18,BTC/USD,43581.27,45872.05,42023.69,42877.75,6275.91387222
2021-05-17,BTC/USD,46446.42,46648.5,42100,43593.39,12262.72268102
2021-05-16,BTC/USD,46753.4,49800,43769.4,46444.75,5750.08326356
2021-05-15,BTC/USD,49883.89,50710.93,46448.53,46708.89,3613.92837843
2021-05-14,BTC/USD,49711.64,51572,48875.69,49880.43,4011.0819038
2021-05-13,BTC/USD,49419.44,51420.72,45700,49694.96,9096.38363317
2021-05-12,BTC/USD,56763.7,58021.26,48530,49386.56,6367.35410217
2021-05-11,BTC/USD,55854.43,56972.33,54500,56763.7,4203.16906929
2021-05-10,BTC/USD,58336.16,59603,53500,55880.72,6589.4271403
2021-05-09,BTC/USD,58964.89,59300.62,56256,58305.24,2589.62561937
